Postal Code,Borough,Neighbourhood,Latitude,Longitude,Amphitheater,Aquarium,Arcade,Art Gallery,Bowling Alley,Casino,Circus,Comedy Club,Concert Hall,Country Dance Club,Disc Golf,Escape Room,Exhibit,General Entertainment,Go Kart Track,Historic Site,Karaoke Box,Laser Tag,Memorial Site,Mini Golf,Movie Theater,Museum,Music Venue,Pachinko Parlor,Performing Arts Venue,Pool Hall,Public Art,Racecourse,Racetrack,Roller Rink,Salsa Club,Samba School,Stadium,Theme Park,Tour Provider,VR Cafe,Water Park,Zoo,College Academic Building,College Administrative Building,College Auditorium,College Bookstore,College Cafeteria,College Classroom,College Gym,College Lab,College Library,College Quad,College Rec Center,College Residence Hall,College Stadium,College Theater,Community College,Fraternity House,General College & University,Law School,Medical School,Sorority House,Student Center,Trade School,University,Christmas Market,Conference,Convention,Festival,Line / Queue,Music Festival,Other Event,Parade,Sporting Event,Stoop Sale,Street Fair,Trade Fair,Afghan Restaurant,African Restaurant,American Restaurant,Armenian Restaurant,Asian Restaurant,Australian Restaurant,Austrian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bangladeshi Restaurant,Belgian Restaurant,Bistro,Breakfast Spot,Bubble Tea Shop,Buffet,Burger Joint,Cafeteria,Café,Cajun / Creole Restaurant,Caribbean Restaurant,Caucasian Restaurant,Coffee Shop,Comfort Food Restaurant,Creperie,Czech Restaurant,Deli / Bodega,Dessert Shop,Diner,Donut Shop,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,English Restaurant,Falafel Restaurant,Fast Food Restaurant,Fish & Chips Shop,Fondue Restaurant,Food Court,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Friterie,Gastropub,German Restaurant,Gluten-free Restaurant,Greek Restaurant,Halal Restaurant,Hawaiian Restaurant,Hot Dog Joint,Hungarian Restaurant,Indian Restaurant,Irish Pub,Italian Restaurant,Jewish Restaurant,Juice Bar,Kebab Restaurant,Latin American Restaurant,Mac & Cheese Joint,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Molecular Gastronomy Restaurant,Pakistani Restaurant,Pet Café,Pizza Place,Polish Restaurant,Portuguese Restaurant,Poutine Place,Restaurant,Russian Restaurant,Salad Place,Sandwich Place,Scandinavian Restaurant,Scottish Restaurant,Seafood Restaurant,Slovak Restaurant,Snack Place,Soup Place,Southern / Soul Food Restaurant,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Swiss Restaurant,Tea Room,Theme Restaurant,Turkish Restaurant,Ukrainian Restaurant,Vegetarian / Vegan Restaurant,Wings Joint,Bar,Brewery,Lounge,Night Market,Nightclub,Other Nightlife,Strip Club,Athletics & Sports,Bathing Area,Bay,Beach,Bike Trail,Boat Launch,Botanical Garden,Bridge,Campground,Canal Lock,Canal,Castle,Cave,Cemetery,Dam,Dive Spot,Dog Run,Farm,Field,Fishing Spot,Forest,Fountain,Garden,Gun Range,Harbor / Marina,Hill,Hot Spring,Indoor Play Area,Island,Lake,Lighthouse,Mountain Hut,Mountain,National Park,Nature Preserve,Other Great Outdoors,Palace,Park,Pedestrian Plaza,Picnic Area,Picnic Shelter,Playground,Plaza,Pool,Rafting,Recreation Center,Reservoir,River,Rock Climbing Spot,Roof Deck,Scenic Lookout,Sculpture Garden,Ski Area,Skydiving Drop Zone,Stables,State / Provincial Park,States & Municipalities,Summer Camp,Trail,Tree,Vineyard,Volcano,Waterfall,Waterfront,Well,Windmill,Animal Shelter,Architecture Firm,Art Studio,Auditorium,Ballroom,Building,Business Center,Cidery,Club House,Community Center,Convention Center,Cultural Center,Distillery,Distribution Center,Event Space,Factory,Fair,Funeral Home,Government Building,Industrial Estate,Library,Meadery,Medical Center,Military Base,Non-Profit,Observatory,Office,Parking,Post Office,Power Plant,Prison,Radio Station,Recruiting Agency,Research Laboratory,Research Station,School,Social Club,Spiritual Center,TV Station,Voting Booth,Warehouse,Waste Facility,Wedding Hall,Winery,Assisted Living,Home (private),Housing Development,Residential Building (Apartment / Condo),Trailer Park,ATM,Adult Boutique,Antique Shop,Arts & Crafts Store,Astrologer,Auto Dealership,Auto Garage,Auto Workshop,Automotive Shop,Baby Store,Bank,Bath House,Batik Shop,Betting Shop,Big Box Store,Bike Shop,Board Shop,Bookstore,Bridal Shop,Business Service,Camera Store,Candy Store,Car Wash,Carpet Store,Check Cashing Service,Child Care Service,Chocolate Shop,Clothing Store,Comic Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Costume Shop,Credit Union,Currency Exchange,Department Store,Design Studio,Discount Store,Dive Shop,Drugstore,Dry Cleaner,EV Charging Station,Electronics Store,Entertainment Service,Event Service,Fabric Shop,Film Studio,Financial or Legal Service,Fireworks Store,Fishing Store,Flea Market,Floating Market,Flower Shop,Food & Drink Shop,Frame Store,Fruit & Vegetable Store,Furniture / Home Store,Gaming Cafe,Garden Center,Gas Station,Gift Shop,Gun Shop,Hardware Store,Health & Beauty Service,Herbs & Spices Store,Hobby Shop,Home Service,Hunting Supply,IT Services,Insurance Office,Internet Cafe,Jewelry Store,Kitchen Supply Store,Knitting Store,Laundromat,Laundry Service,Lawyer,Leather Goods Store,Locksmith,Lottery Retailer,Luggage Store,Marijuana Dispensary,Market,Massage Studio,Mattress Store,Medical Supply Store,Miscellaneous Shop,Mobile Phone Shop,Mobility Store,Motorcycle Shop,Motorsports Shop,Music Store,Nail Salon,Newsagent,Newsstand,Notary,Optical Shop,Other Repair Shop,Outdoor Supply Store,Outlet Mall,Outlet Store,Paper / Office Supplies Store,Pawn Shop,Perfume Shop,Pet Service,Pet Store,Pharmacy,Photography Lab,Photography Studio,Piercing Parlor,Pop-Up Shop,Print Shop,Public Bathroom,Real Estate Office,Record Shop,Recording Studio,Recycling Facility,Rental Service,Salon / Barbershop,Sauna / Steam Room,Shipping Store,Shoe Repair,Shopping Mall,Shopping Plaza,Skate Shop,Ski Shop,Smoke Shop,Smoothie Shop,Souvenir Shop,Spa,Sporting Goods Shop,Stationery Store,Storage Facility,Supplement Shop,Tailor Shop,Tanning Salon,Tattoo Parlor,Thrift / Vintage Store,Toy / Game Store,Travel Agency,Used Bookstore,Vape Store,Vehicle Inspection Station,Video Game Store,Video Store,Warehouse Store,Watch Shop,Airport,Baggage Locker,Bike Rental / Bike Share,Boat Rental,Boat or Ferry,Border Crossing,Bus Station,Bus Stop,Cable Car,Cruise Ship,Duty-free Shop,General Travel,Heliport,Hotel,Intersection,Light Rail Station,Marine Terminal,Metro Station,Moving Target,Pier,Port,RV Park,Rental Car Location,Rest Area,Road,Taxi Stand,Taxi,Toll Booth,Toll Plaza,Tourist Information Center,Train Station,Tram Station,Transportation Service,Travel Lounge,Truck Stop,Tunnel
M3A,North York,Parkwoods,43.7545,-79.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,6,0,1,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,2,19,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M4A,North York,Victoria Village,43.7276,-79.3148,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,6,3,0,0,4,0,2,0,12,0,1,0,34,0,0,0,0,1,0,0,0,5,0,9,0,0,0,0,0,0,2,0,2,25,0,0,0,0,0,0,3,0,0,13,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,5,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,4,0,0,0,0,1,4,0,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6555,-79.3626,0,0,4,47,1,0,1,4,5,0,0,0,0,46,0,8,0,0,1,0,7,4,23,0,48,1,28,0,0,0,0,0,1,1,0,0,1,1,40,9,20,3,3,20,1,19,4,0,0,2,0,3,5,1,10,0,1,1,10,4,10,1,0,0,1,0,0,1,0,0,0,0,0,1,11,13,0,50,0,0,9,2,31,0,0,5,16,4,1,7,1,50,1,6,0,50,1,2,0,17,15,8,2,0,0,1,0,5,36,4,0,2,0,15,4,4,0,8,1,1,8,2,0,4,0,19,1,14,0,4,1,0,0,8,9,17,0,0,1,0,15,0,1,2,47,0,5,31,0,0,3,0,4,0,0,3,0,0,0,4,0,0,0,3,2,36,4,15,0,4,9,6,47,0,0,3,0,1,2,3,1,0,0,0,0,1,0,1,13,2,2,0,1,0,5,1,2,0,2,0,0,1,0,0,0,0,0,27,0,30,1,0,0,4,0,8,0,3,0,0,0,2,12,3,1,0,0,0,1,1,4,0,1,0,0,0,1,0,2,0,1,0,0,46,5,0,1,7,1,0,2,1,44,7,0,0,29,0,8,0,42,6,20,0,46,31,8,0,0,3,1,0,0,27,1,39,1,7,0,0,0,3,4,0,14,47,0,6,1,19,14,0,18,2,1,42,1,23,0,0,0,0,7,1,5,1,7,1,4,2,0,0,3,2,41,0,0,40,24,1,0,0,2,42,4,0,0,2,0,20,1,1,0,1,3,0,1,4,0,16,45,1,1,46,1,2,9,14,0,10,11,1,1,1,1,2,0,0,24,0,1,1,24,4,1,0,0,0,2,7,8,0,0,26,12,0,1,0,4,11,0,0,0,8,3,0,0,0,9,1,0,3,13,16,5,6,1,2,5,1,9,1,5,0,3,48,0,3,0,1,0,0,0,7,2,1,31,8,1,7,0,3,5,3,12,2,1,0,2,0,2,1,0,0,1,0,15,0,7,0,8,23,0,1,0,11,0,37,0,23,0,0,12,0,0,0,23,0,0,0,0,0,0,2,0,6,1,1,0,0
M6A,North York,"Lawrence Manor, Lawrence Heights",43.7223,-79.4504,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,27,0,0,1,0,8,0,0,0,0,2,0,2,0,15,0,5,0,13,0,0,0,0,14,1,0,1,0,0,0,0,15,1,0,5,0,1,0,3,0,0,0,0,3,0,0,1,0,3,0,2,0,7,0,3,0,4,5,1,0,0,0,0,4,0,0,0,21,0,2,6,0,0,2,0,2,0,2,1,0,1,0,3,0,0,0,2,0,7,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,1,1,0,0,2,3,0,0,0,7,0,0,0,31,0,2,0,36,10,3,0,0,0,0,0,0,10,0,6,0,1,0,0,0,2,0,0,0,8,0,1,0,0,7,0,4,2,0,14,0,12,0,0,0,0,1,0,2,2,1,1,2,0,0,1,2,6,45,0,3,11,32,2,0,0,7,6,4,0,0,0,0,17,0,0,1,0,1,0,0,2,0,3,11,0,0,27,0,0,6,13,0,5,5,0,2,1,1,2,0,0,24,2,0,0,0,3,8,0,0,2,0,0,0,4,0,21,19,0,0,0,0,4,0,0,0,7,2,0,0,0,2,0,7,1,2,3,1,1,0,6,2,0,0,0,1,0,0,15,0,2,0,4,0,0,0,0,2,0,4,10,1,2,1,3,1,0,1,6,0,0,0,0,4,0,1,3,0,0,0,0,1,0,10,5,0,0,0,2,0,1,0,2,0,4,4,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889,1,1,3,45,1,1,0,3,11,0,0,2,16,42,0,13,0,0,0,0,21,28,18,0,47,4,4,0,1,0,2,0,0,0,1,0,1,0,48,50,26,9,28,42,13,46,49,35,9,41,9,4,2,13,48,5,13,5,49,7,44,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,50,0,0,10,6,26,0,0,4,23,43,1,25,9,49,1,7,0,50,2,3,0,16,48,10,2,6,0,0,0,18,48,1,0,23,1,47,11,12,0,7,0,1,12,5,5,29,0,34,1,37,1,19,2,1,0,23,32,42,1,0,1,0,30,1,2,2,45,0,24,50,0,0,6,0,7,5,0,3,1,8,1,16,2,3,0,19,6,50,2,31,0,19,12,7,45,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,1,6,0,0,0,17,0,1,0,1,0,0,1,0,0,0,0,0,23,0,47,1,0,0,5,8,20,0,0,0,1,0,1,8,12,2,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,1,5,0,46,4,0,1,3,21,0,0,2,45,3,0,0,50,0,14,0,48,1,27,0,42,49,18,0,0,3,3,3,2,43,1,47,0,1,0,0,0,0,2,0,8,48,0,16,7,3,13,0,3,2,0,5,0,48,3,0,0,0,5,1,21,7,14,2,10,5,0,3,2,4,46,2,1,49,48,2,5,5,15,13,6,0,1,4,4,44,0,0,0,0,10,0,0,1,0,15,47,0,1,27,5,0,4,32,0,4,31,0,8,1,0,3,1,5,41,0,0,1,29,5,5,1,0,5,4,7,16,2,0,44,26,1,0,0,9,37,0,11,0,32,3,0,0,2,28,1,4,3,7,49,5,0,0,4,9,6,6,3,0,0,1,49,0,8,3,15,0,0,0,26,6,0,45,16,2,1,2,6,6,15,5,12,12,0,3,0,1,2,0,1,1,0,36,0,3,0,28,13,2,0,0,19,0,43,0,17,0,12,14,0,0,0,32,3,0,0,1,0,0,0,2,4,1,0,0,0
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6662,-79.5282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,11,0,0,0,5,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1B,Scarborough,"Malvern, Rouge",43.8113,-79.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
M3B,North York,Don Mills,43.745,-79.359,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,2,0,0,0,1,1,1,2,3,5,1,0,0,11,0,0,0,1,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,2,2,0,0,0,0,0,6,0,0,1,7,0,1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3,0,19,0,2,0,45,3,2,0,0,1,0,0,0,12,0,8,0,0,0,0,0,1,0,0,1,10,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,2,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,4,0,0,0,0,5,0,1,0,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063,-79.3094,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,3,0,6,0,0,0,3,0,0,2,0,8,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,1,0,0,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,7,0,0,2,0,1,0,14,0,1,0,21,0,2,0,0,0,0,0,0,8,0,7,0,1,0,0,0,1,0,0,2,16,0,1,0,0,3,0,0,0,0,12,0,3,0,0,0,0,1,0,1,0,2,0,0,3,0,0,1,0,2,0,0,9,1,0,0,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,6,1,0,1,0,0,3,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,3,4,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783,0,0,6,45,3,3,0,7,14,0,0,2,1,46,0,14,0,0,0,0,26,10,38,0,48,5,30,1,2,0,2,0,0,1,1,0,2,1,47,30,24,5,8,29,9,38,11,5,5,9,3,2,6,2,35,0,6,2,27,10,43,0,1,0,0,0,0,3,0,1,0,0,0,2,13,44,0,50,1,0,16,15,48,0,0,10,50,45,2,29,9,50,3,13,0,50,2,5,0,44,49,19,6,3,0,1,1,24,49,5,0,45,4,48,5,13,0,15,1,4,27,7,8,37,0,45,3,34,1,36,2,4,0,31,41,48,1,1,3,0,38,1,3,3,48,0,38,50,0,0,10,0,21,7,1,7,1,10,0,18,3,4,0,23,5,50,4,41,0,27,22,9,46,0,0,1,0,0,1,2,1,0,0,0,0,2,0,0,12,2,3,0,0,2,18,0,1,0,2,1,0,2,0,0,0,0,0,40,0,42,2,0,0,8,16,19,0,2,0,0,0,2,18,17,1,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,3,3,44,11,0,1,8,46,0,0,3,47,2,1,2,50,0,10,0,50,7,41,0,46,50,27,0,0,5,5,2,2,37,0,49,1,8,0,0,0,3,3,0,13,46,0,20,7,12,14,0,1,2,1,16,0,46,3,0,0,0,7,2,19,4,7,9,20,4,0,2,1,10,46,1,1,50,49,2,6,13,17,34,5,0,0,3,4,41,0,0,0,1,6,0,1,4,0,17,48,3,2,44,4,0,11,44,0,10,26,1,9,2,1,11,3,5,37,1,0,2,46,9,5,0,0,8,6,11,17,3,1,38,40,1,0,0,8,36,0,15,0,38,3,0,0,0,36,2,2,4,13,47,11,4,1,7,12,4,9,4,2,0,5,48,0,10,5,11,0,0,0,26,11,1,47,30,4,0,3,10,8,18,14,13,18,0,3,0,9,0,0,4,1,0,50,0,5,0,33,30,3,0,0,32,0,48,0,44,0,8,35,1,0,0,43,2,0,3,0,0,0,5,3,5,1,3,0,0
